#Date,TotalDistance
2026/06/03 13:09:55,4101.9
#Screen_X,Screen_Y,GazeDataCount
1920,1080,374
#GameTime,Gaze_X,Gaze_Y
2.92,984,108
2.92,984,108
2.94,984,108
2.94,984,108
2.96,984,108
2.96,984,108
2.98,984,108
2.98,984,108
3.00,984,108
3.00,984,108
3.02,984,108
3.02,984,108
3.04,984,108
3.04,984,108
3.06,984,108
3.06,984,108
3.08,984,108
3.08,984,108
3.10,984,108
3.10,984,108
3.12,984,108
3.12,984,108
3.14,984,108
3.14,984,108
3.16,984,108
3.16,984,108
3.18,984,108
3.18,984,108
3.20,984,108
3.20,984,108
3.22,984,108
3.22,984,108
3.24,984,108
3.24,984,108
3.26,987,116
3.26,987,116
3.28,1004,150
3.28,1004,150
3.30,1027,207
3.30,1027,207
3.32,1041,258
3.32,1041,258
3.34,1052,317
3.34,1052,317
3.36,1064,357
3.36,1064,357
3.38,1072,402
3.38,1072,402
3.40,1081,434
3.40,1081,434
3.42,1083,462
3.42,1083,462
3.44,1083,507
3.44,1083,507
3.46,1083,547
3.46,1083,547
3.48,1078,573
3.48,1078,573
3.50,1066,598
3.50,1066,598
3.52,1052,621
3.52,1052,621
3.54,1021,649
3.54,1021,649
3.56,984,672
3.56,984,672
3.58,947,692
3.58,947,692
3.60,902,703
3.60,902,703
3.62,854,717
3.62,854,717
3.64,800,729
3.64,800,729
3.66,732,740
3.66,732,740
3.68,672,748
3.68,672,748
3.70,621,748
3.70,621,748
3.72,584,748
3.72,584,748
3.74,559,748
3.74,559,748
3.76,539,743
3.76,539,743
3.78,519,737
3.78,519,737
3.80,488,720
3.80,488,720
3.82,451,697
3.82,451,697
3.84,417,666
3.84,417,666
3.86,377,632
3.86,377,632
3.88,329,561
3.88,329,561
3.90,320,547
3.90,320,547
3.92,303,499
3.92,303,499
3.94,289,454
3.94,289,454
3.96,286,414
3.96,286,414
3.98,289,385
3.98,289,385
4.00,298,368
4.00,298,368
4.02,312,351
4.02,312,351
4.04,329,334
4.04,329,334
4.06,343,323
4.06,343,323
4.08,377,315
4.08,377,315
4.10,411,309
4.10,411,309
4.12,459,306
4.12,459,306
4.14,499,306
4.14,499,306
4.16,550,320
4.16,550,320
4.18,601,332
4.18,601,332
4.20,647,349
4.20,647,349
4.22,686,371
4.22,686,371
4.24,732,402
4.24,732,402
4.26,766,431
4.26,766,431
4.28,811,471
4.28,811,471
4.30,848,502
4.30,848,502
4.32,876,530
4.32,876,530
4.34,893,547
4.34,893,547
4.36,922,570
4.36,922,570
4.38,950,581
4.38,950,581
4.40,984,592
4.40,984,592
4.42,1029,604
4.42,1029,604
4.44,1081,607
4.44,1081,607
4.46,1123,609
4.46,1123,609
4.48,1163,607
4.48,1163,607
4.50,1188,601
4.50,1188,601
4.52,1202,592
4.52,1202,592
4.54,1225,578
4.54,1225,578
4.56,1265,550
4.56,1265,550
4.58,1288,527
4.58,1288,527
4.60,1319,499
4.60,1319,499
4.62,1339,471
4.62,1339,471
4.64,1358,445
4.64,1358,445
4.66,1373,417
4.66,1373,417
4.68,1381,391
4.68,1381,391
4.70,1384,374
4.70,1384,374
4.72,1384,363
4.72,1384,363
4.74,1384,351
4.74,1384,351
4.76,1381,340
4.76,1381,340
4.78,1375,334
4.78,1375,334
4.80,1375,334
4.80,1375,334
4.82,1375,332
4.82,1375,332
4.84,1367,329
4.84,1367,329
